element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
N,6,"=""""","=""18.0655""","=""""","=""4.290e+09""",AA,"=""3438320""","=""3991860""","=""1s.2p""","=""3P*""","=""1""","=""1s.3s""","=""3S""","=""1""",,"=""T5997LS""","=""""",
N,6,"=""""","=""18.0750""","=""""","=""7.139e+09""",AA,"=""3438610""","=""3991860""","=""1s.2p""","=""3P*""","=""2""","=""1s.3s""","=""3S""","=""1""",,"=""T5997LS""","=""""",
N,4,"=""18.175""","=""18.1741""","=""400""","=""2.80e+09""",B,"=""0.0""","=""550232.6""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2s.5p""","=""1P*""","=""1""",,"=""T5633""","=""L1356""",
N,4,"=""""","=""18.3146""","=""""","=""3.63e+08""",C+,"=""130693.9""","=""676706.4""","=""1s2.2s.2p""","=""1P*""","=""1""","=""1s2.2p.(2P*<1/2>).8p""","=""1P""","=""1""",,"=""T5633""","=""""",
N,6,"=""""","=""18.5192""","=""""","=""8.205e+10""",AA,"=""3473790""","=""4013770""","=""1s.2p""","=""1P*""","=""1""","=""1s.3d""","=""1D""","=""2""",,"=""T5997""","=""""",
N,4,"=""""","=""18.5235""","=""""","=""3.07e+08""",C,"=""67209.2""","=""607064.2""","=""1s2.2s.2p""","=""3P*""","=""0""","=""1s2.2s.10d""","=""3D""","=""1""",,"=""T5600c20""","=""""",
N,4,"=""""","=""18.5257""","=""""","=""4.15e+08""",C+,"=""67272.3""","=""607064.2""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2s.10d""","=""3D""","=""2""",,"=""T5600c20""","=""""",
N,4,"=""""","=""18.5257""","=""""","=""2.32e+08""",C,"=""67272.3""","=""607064.2""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2s.10d""","=""3D""","=""1""",,"=""T5600c20,LS""","=""""",
N,4,"=""""","=""18.5306""","=""""","=""1.55e+07""",D,"=""67416.3""","=""607064.2""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.10d""","=""3D""","=""1""",,"=""T5600c20,LS""","=""""",
N,4,"=""""","=""18.5306""","=""""","=""5.52e+08""",B,"=""67416.3""","=""607064.2""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.10d""","=""3D""","=""3""",,"=""T5600c20""","=""""",
N,4,"=""""","=""18.5306""","=""""","=""1.39e+08""",C,"=""67416.3""","=""607064.2""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.10d""","=""3D""","=""2""",,"=""T5600c20,LS""","=""""",
N,4,"=""""","=""18.5552""","=""""","=""1.36e+07""",D,"=""67209.2""","=""606142.6""","=""1s2.2s.2p""","=""3P*""","=""0""","=""1s2.2s.10s""","=""3S""","=""1""",,"=""T5600c20,LS""","=""""",
N,4,"=""""","=""18.5573""","=""""","=""4.15e+07""",D,"=""67272.3""","=""606142.6""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2s.10s""","=""3S""","=""1""",,"=""T5600c20""","=""""",
N,4,"=""""","=""18.5623""","=""""","=""6.91e+07""",D,"=""67416.3""","=""606142.6""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.10s""","=""3S""","=""1""",,"=""T5600c20""","=""""",
N,5,"=""18.6069""","=""18.6063""","=""52""","=""1.18e+10""",A,"=""80463.2""","=""617916.3""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s2.4d""","=""2D""","=""3/2""",,"=""T5118LS""","=""L3543""",
N,5,"=""18.6153""","=""18.6149""","=""62*""","=""1.42e+10""",A,"=""80721.9""","=""617925.5""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.4d""","=""2D""","=""5/2""",,"=""T5118LS""","=""L3543""",
N,5,"=""18.6153""","=""18.6152""","=""62*""","=""2.36e+09""",A,"=""80721.9""","=""617916.3""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.4d""","=""2D""","=""3/2""",,"=""T5118LS""","=""L3543""",
N,4,"=""""","=""18.6218""","=""""","=""5.44e+08""",C+,"=""130693.9""","=""667698.9""","=""1s2.2s.2p""","=""1P*""","=""1""","=""1s2.2p.(2P*<1/2>).7p""","=""1P""","=""1""",,"=""T5633""","=""""",
N,4,"=""""","=""18.6687""","=""""","=""4.21e+08""",C,"=""67209.2""","=""602865.7""","=""1s2.2s.2p""","=""3P*""","=""0""","=""1s2.2s.9d""","=""3D""","=""1""",,"=""T5600c20""","=""""",
N,4,"=""""","=""18.6709""","=""""","=""5.67e+08""",C+,"=""67272.3""","=""602865.7""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2s.9d""","=""3D""","=""2""",,"=""T5600c20""","=""""",
