element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref
O,3,,511.918,,6.53e+04,C+,374663.52,394197.9,2s.2p2.(4P).3p,3D*,2,2s.2p2.(2D).3s,3D,3,,T5376LS,
O,3,,512.617,,4.37e+05,C+,374571.64,394079.4,2s.2p2.(4P).3p,3D*,1,2s.2p2.(2D).3s,3D,1,,T5376LS,
O,1,,513.257,,7.48e+04,C,88630.587,108114.0,2s2.2p3.(4S*).3p,3P,1,2s2.2p3.(4S*).8d,3D*,2,,T5713LS,
O,1,,513.257,,4.16e+04,C,88630.587,108114.0,2s2.2p3.(4S*).3p,3P,1,2s2.2p3.(4S*).8d,3D*,1,,T5713LS,
O,1,,513.272,,2.77e+03,D,88631.146,108114.0,2s2.2p3.(4S*).3p,3P,2,2s2.2p3.(4S*).8d,3D*,1,,T5713LS,
O,1,,513.272,,9.98e+04,C+,88631.146,108114.0,2s2.2p3.(4S*).3p,3P,2,2s2.2p3.(4S*).8d,3D*,3,,T5713LS,
O,1,,513.272,,2.49e+04,C,88631.146,108114.0,2s2.2p3.(4S*).3p,3P,2,2s2.2p3.(4S*).8d,3D*,2,,T5713LS,
O,1,,513.276,,5.54e+04,C,88631.303,108114.0,2s2.2p3.(4S*).3p,3P,0,2s2.2p3.(4S*).8d,3D*,1,,T5713LS,
O,3,,513.775,,4.03e+05,C+,374663.52,394127.3,2s.2p2.(4P).3p,3D*,2,2s.2p2.(2D).3s,3D,2,,T5376LS,
O,2,,513.9390,,1.89e+04,C,188888.543,208346.104,2s2.2p2.(3P).3s,2P,1/2,2s2.2p2.(3P).3p,4P*,1/2,,T6172,
O,2,,514.1705,,1.42e+05,E,233544.59,252993.39,2s2.2p2.(3P).3d,2P,1/2,2s2.2p2.(1S).3p,2P*,3/2,,T5723LS,
O,2,,514.3334,,5.67e+05,D,233544.59,252987.23,2s2.2p2.(3P).3d,2P,1/2,2s2.2p2.(1S).3p,2P*,1/2,,T5723LS,
O,4,,514.483,,1.23e+07,B,554464,573901,2s.2p.(1P*).3p,2S,1/2,2s.2p.(3P*).4s,2P*,3/2,,T5109LS,
O,3,,515.042,,1.44e+05,C,374663.52,394079.4,2s.2p2.(4P).3p,3D*,2,2s.2p2.(2D).3s,3D,1,,T5376LS,
O,2,,515.0474,,1.13e+04,C,189068.514,208484.202,2s2.2p2.(3P).3s,2P,3/2,2s2.2p2.(3P).3p,4P*,5/2,,T6172,
O,3,,515.391,,5.10e+05,C+,374795.14,394197.9,2s.2p2.(4P).3p,3D*,3,2s.2p2.(2D).3s,3D,3,,T5376LS,
O,2,516.1379,516.1378,15,3.12e+07,B,214169.920,233544.59,2s2.2p2.(3P).3p,2P*,1/2,2s2.2p2.(3P).3d,2P,1/2,,"T6172,T6632",L10621
O,3,,517.273,,8.86e+04,C+,374795.14,394127.3,2s.2p2.(4P).3p,3D*,3,2s.2p2.(2D).3s,3D,2,,T5376LS,
O,2,517.7338,517.7345,12,1.46e+07,B,214229.671,233544.59,2s2.2p2.(3P).3p,2P*,3/2,2s2.2p2.(3P).3d,2P,1/2,,"T6172,T6632",L10621
O,2,,518.7370,,4.23e+04,C,189068.514,208346.104,2s2.2p2.(3P).3s,2P,3/2,2s2.2p2.(3P).3p,4P*,1/2,,T6172,
O,2,519.1941,519.1944,14,1.18e+07,B,214169.920,233430.53,2s2.2p2.(3P).3p,2P*,1/2,2s2.2p2.(3P).3d,2P,3/2,,"T6172,T6632",L10621
O,4,,519.967,,1.19e+07,B,554464,573696,2s.2p.(1P*).3p,2S,1/2,2s.2p.(3P*).4s,2P*,1/2,,T5109LS,
O,2,520.8100,520.8100,20,3.33e+07,B,214229.671,233430.53,2s2.2p2.(3P).3p,2P*,3/2,2s2.2p2.(3P).3d,2P,3/2,,"T6172,T6632",L10621
O,3,,526.9767,,3.50e+07,B,313802.77,332778.94,2s2.2p.(2P*).3p,1S,0,2s2.2p.(2P*).3d,1P*,1,,"T5376,T5791",
O,1,,527.6435,,1.32e+05,C+,88630.587,107582.777,2s2.2p3.(4S*).3p,3P,1,2s2.2p3.(4S*).7d,3D*,2,,T5713LS,
O,1,,527.6435,,7.34e+04,C,88630.587,107582.777,2s2.2p3.(4S*).3p,3P,1,2s2.2p3.(4S*).7d,3D*,1,,T5713LS,
O,1,,527.6591,,4.89e+03,D,88631.146,107582.777,2s2.2p3.(4S*).3p,3P,2,2s2.2p3.(4S*).7d,3D*,1,,T5713LS,
O,1,,527.6591,,1.76e+05,C+,88631.146,107582.777,2s2.2p3.(4S*).3p,3P,2,2s2.2p3.(4S*).7d,3D*,3,,T5713LS,
O,1,,527.6591,,4.40e+04,C,88631.146,107582.777,2s2.2p3.(4S*).3p,3P,2,2s2.2p3.(4S*).7d,3D*,2,,T5713LS,
O,1,,527.6634,,9.78e+04,C,88631.303,107582.777,2s2.2p3.(4S*).3p,3P,0,2s2.2p3.(4S*).7d,3D*,1,,T5713LS,
O,4,,529.148,,4.55e+05,B,482666.1,501564.4,2s.2p.(3P*).3p,2D,3/2,2s.2p.(3P*).3d,2D*,5/2,,T5109LS,
O,1,,530.0362,,3.58e+05,C+,88630.587,107497.224,2s2.2p3.(4S*).3p,3P,1,2s2.2p3.(4S*).8s,3S*,1,,T5713LS,
O,1,,530.0519,,5.96e+05,C+,88631.146,107497.224,2s2.2p3.(4S*).3p,3P,2,2s2.2p3.(4S*).8s,3S*,1,,T5713LS,
O,1,,530.0563,,1.19e+05,C,88631.303,107497.224,2s2.2p3.(4S*).3p,3P,0,2s2.2p3.(4S*).8s,3S*,1,,T5713LS,
O,4,,530.698,,6.10e+06,B,482666.1,501509.2,2s.2p.(3P*).3p,2D,3/2,2s.2p.(3P*).3d,2D*,3/2,,T5109LS,
O,2,532.4006,532.3983,2,,,248515.30,267298.23,2s2.2p2.(3P).4p,2P*,3/2,2s2.2p2.(3P).6s,2P,3/2,,,L10621
O,1,533.058,533.0578,135*,2.71e+06,C+,86625.757,105385.449,2s2.2p3.(4S*).3p,5P,1,2s2.2p3.(4S*).5d,5D*,0,,T5713LS,L3760
O,1,533.058,533.0582,135*,2.03e+06,C+,86625.757,105385.436,2s2.2p3.(4S*).3p,5P,1,2s2.2p3.(4S*).5d,5D*,1,,T5713LS,L3760
O,1,,533.0589,,9.48e+05,C+,86625.757,105385.409,2s2.2p3.(4S*).3p,5P,1,2s2.2p3.(4S*).5d,5D*,2,,T5713LS,
O,1,,533.1156,,6.77e+05,C+,86627.778,105385.436,2s2.2p3.(4S*).3p,5P,2,2s2.2p3.(4S*).5d,5D*,1,,T5713LS,
O,1,533.116,533.1164,160,1.58e+06,C+,86627.778,105385.409,2s2.2p3.(4S*).3p,5P,2,2s2.2p3.(4S*).5d,5D*,2,,T5713LS,L3760
O,1,,533.1173,,1.81e+06,C+,86627.778,105385.377,2s2.2p3.(4S*).3p,5P,2,2s2.2p3.(4S*).5d,5D*,3,,T5713LS,
O,1,,533.2209,,1.80e+05,C+,86631.454,105385.409,2s2.2p3.(4S*).3p,5P,3,2s2.2p3.(4S*).5d,5D*,2,,T5713LS,
O,1,,533.2218,,9.02e+05,C+,86631.454,105385.377,2s2.2p3.(4S*).3p,5P,3,2s2.2p3.(4S*).5d,5D*,3,,T5713LS,
O,1,533.222,533.2224,190,2.71e+06,C+,86631.454,105385.354,2s2.2p3.(4S*).3p,5P,3,2s2.2p3.(4S*).5d,5D*,4,,T5713LS,L3760
O,5,,534.142,,1.85e+06,B,689403.5,708125.1,1s2.2p.(2P*<1/2>).3p,3P,0,1s2.2p.(2P*<3/2>).3d,3P*,1,,T3843n,
O,2,534.5590,534.5591,2,1.46e+04,C,185235.281,203942.288,2s2.2p2.(3P).3s,4P,1/2,2s2.2p2.(3P).3p,2S*,1/2,,T6172,L10621
O,5,,535.123,,7.04e+06,B,689517.7,708205.0,1s2.2p.(2P*<3/2>).3p,3P,1,1s2.2p.(2P*<3/2>).3d,3P*,0,,T3843n,
O,4,,536.400,,6.12e+06,B,482921.6,501564.4,2s.2p.(3P*).3p,2D,5/2,2s.2p.(3P*).3d,2D*,5/2,,T5109LS,
O,5,,537.421,,1.42e+06,C+,689517.7,708125.1,1s2.2p.(2P*<3/2>).3p,3P,1,1s2.2p.(2P*<3/2>).3d,3P*,1,,T5633LS,
O,2,537.5845,537.5850,6,4.15e+04,C,185340.577,203942.288,2s2.2p2.(3P).3s,4P,3/2,2s2.2p2.(3P).3p,2S*,1/2,,T6172,L10621
O,2,537.9063,537.9065,5,9.68e+04,E,234402.797,252993.39,2s2.2p2.(3P).3d,2D,3/2,2s2.2p2.(1S).3p,2P*,3/2,,T5723LS,L10621
O,4,,537.993,,6.50e+05,B,482921.6,501509.2,2s.2p.(3P*).3p,2D,5/2,2s.2p.(3P*).3d,2D*,3/2,,T5109LS,
O,2,538.0848,538.0848,7,9.67e+05,D,234402.797,252987.23,2s2.2p2.(3P).3d,2D,3/2,2s2.2p2.(1S).3p,2P*,1/2,,T5723LS,L10621
O,2,538.3268,538.3273,1,7.55e+03,C,214169.920,232745.981,2s2.2p2.(3P).3p,2P*,1/2,2s2.2p2.(3P).3d,4D,3/2,,T6172,L10621
O,2,,538.6008,,5.93e+04,C,214229.671,232796.298,2s2.2p2.(3P).3p,2P*,3/2,2s2.2p2.(3P).3d,2F,5/2,,T6172,
O,2,,539.3242,,6.59e+04,C,214169.920,232711.642,2s2.2p2.(3P).3p,2P*,1/2,2s2.2p2.(3P).3d,4D,1/2,,T6172,
O,2,539.4110,539.4105,10,8.64e+05,D,234454.634,252993.39,2s2.2p2.(3P).3d,2D,5/2,2s2.2p2.(1S).3p,2P*,3/2,,T5723LS,L10621
O,2,,539.9801,,,,195710.47,214229.671,2s.2p4,2S,1/2,2s2.2p2.(3P).3p,2P*,3/2,,,L11267
O,2,,540.0183,,2.49e+04,C,214229.671,232747.562,2s2.2p2.(3P).3p,2P*,3/2,2s2.2p2.(3P).3d,4D,5/2,,T6172,
O,2,,540.0644,,4.06e+04,C,214229.671,232745.981,2s2.2p2.(3P).3p,2P*,3/2,2s2.2p2.(3P).3d,4D,3/2,,T6172,
O,2,541.0707,541.0678,1,3.10e+04,C,214229.671,232711.642,2s2.2p2.(3P).3p,2P*,3/2,2s2.2p2.(3P).3d,4D,1/2,,T6172,L10621
O,5,,541.609,,9.29e+05,C+,689517.7,707981.2,1s2.2p.(2P*<3/2>).3p,3P,1,1s2.2p.(2P*<3/2>).3d,3P*,2,,T3843n,
O,2,541.7278,541.7279,5,,,195710.47,214169.920,2s.2p4,2S,1/2,2s2.2p2.(3P).3p,2P*,1/2,,,L10621
O,2,542.5147,542.5179,1,2.81e+04,C,214169.920,232602.492,2s2.2p2.(3P).3p,2P*,1/2,2s2.2p2.(3P).3d,4P,1/2,,T6172,L10621
O,4,,542.741,,5.18e+07,B,575202,593627,2s.2p.(3P*).4p,2P,1/2,2s.2p.(3P*).4d,2D*,3/2,,T5109LS,
O,5,,542.988,,2.68e+06,B,689708.5,708125.1,1s2.2p.(2P*<3/2>).3p,3P,2,1s2.2p.(2P*<3/2>).3d,3P*,1,,T3843n,
O,1,543.669,543.6688,90,7.74e+05,C+,86625.757,105019.307,2s2.2p3.(4S*).3p,5P,1,2s2.2p3.(4S*).6s,5S*,2,,T5713LS,L3760
O,1,543.729,543.7286,110,1.29e+06,C+,86627.778,105019.307,2s2.2p3.(4S*).3p,5P,2,2s2.2p3.(4S*).6s,5S*,2,,T5713LS,L3760
O,1,543.837,543.8373,135,1.80e+06,C+,86631.454,105019.307,2s2.2p3.(4S*).3p,5P,3,2s2.2p3.(4S*).6s,5S*,2,,T5713LS,L3760
O,4,,545.464,,6.12e+07,B,575375,593708,2s.2p.(3P*).4p,2P,3/2,2s.2p.(3P*).4d,2D*,5/2,,T5109LS,
O,2,546.2558,546.2607,2,6.53e+04,C,214229.671,232535.949,2s2.2p2.(3P).3p,2P*,3/2,2s2.2p2.(3P).3d,4P,3/2,,T6172,L10621
O,5,,547.264,,4.86e+06,B,689708.5,707981.2,1s2.2p.(2P*<3/2>).3p,3P,2,1s2.2p.(2P*<3/2>).3d,3P*,2,,T3843n,
O,5,,547.678,,1.10e-07,D,213462.5,231721.4,1s2.2p2,3P,0,1s2.2p2,1D,2,E2,T4586,
O,4,,547.885,,1.01e+07,B,575375,593627,2s.2p.(3P*).4p,2P,3/2,2s.2p.(3P*).4d,2D*,3/2,,T5109LS,
O,2,,548.4545,,2.12e+04,C,214229.671,232462.724,2s2.2p2.(3P).3p,2P*,3/2,2s2.2p2.(3P).3d,4P,5/2,,T6172,
O,4,,548.817,,6.30e+06,C+,575853,594074,2s.2p.(1P*).3d,2D*,5/2,2s.2p.(3P*).4f,2F,7/2,,T5109LS,
O,4,,549.451,,5.86e+06,C+,575819,594019,2s.2p.(1P*).3d,2D*,3/2,2s.2p.(3P*).4f,2F,5/2,,T5109LS,
O,4,,550.479,,4.16e+05,C+,575853,594019,2s.2p.(1P*).3d,2D*,5/2,2s.2p.(3P*).4f,2F,5/2,,T5109LS,
O,3,,550.9772,,1.06e+07,B,306586.08,324735.65,2s2.2p.(2P*).3p,1D,2,2s2.2p.(2P*).3d,1D*,2,,"T5376,T5791",
O,1,,551.4133,,1.49e+05,C+,88630.587,106765.803,2s2.2p3.(4S*).3p,3P,1,2s2.2p3.(4S*).6d,3D*,1,,T5713LS,
O,1,,551.4133,,2.69e+05,C+,88630.587,106765.803,2s2.2p3.(4S*).3p,3P,1,2s2.2p3.(4S*).6d,3D*,2,,T5713LS,
O,1,,551.4303,,9.95e+03,D,88631.146,106765.803,2s2.2p3.(4S*).3p,3P,2,2s2.2p3.(4S*).6d,3D*,1,,T5713LS,
O,1,,551.4303,,3.58e+05,C+,88631.146,106765.803,2s2.2p3.(4S*).3p,3P,2,2s2.2p3.(4S*).6d,3D*,3,,T5713LS,
O,1,,551.4303,,8.95e+04,C+,88631.146,106765.803,2s2.2p3.(4S*).3p,3P,2,2s2.2p3.(4S*).6d,3D*,2,,T5713LS,
O,1,,551.4351,,1.99e+05,C+,88631.303,106765.803,2s2.2p3.(4S*).3p,3P,0,2s2.2p3.(4S*).6d,3D*,1,,T5713LS,
O,5,,552.389,,4.56e-06,D,213618.2,231721.4,1s2.2p2,3P,1,1s2.2p2,1D,2,E2,T4586,
O,5,,552.389,,1.21e-02,C,213618.2,231721.4,1s2.2p2,3P,1,1s2.2p2,1D,2,M1,T4492,
O,1,,555.6375,,5.83e+05,C+,88630.587,106627.934,2s2.2p3.(4S*).3p,3P,1,2s2.2p3.(4S*).7s,3S*,1,,T5713LS,
O,1,,555.6547,,9.71e+05,C+,88631.146,106627.934,2s2.2p3.(4S*).3p,3P,2,2s2.2p3.(4S*).7s,3S*,1,,T5713LS,
O,1,,555.6596,,1.94e+05,C+,88631.303,106627.934,2s2.2p3.(4S*).3p,3P,0,2s2.2p3.(4S*).7s,3S*,1,,T5713LS,
O,5,,557.336,,8.33e+06,B,582806.4,600748.9,1s2.2s.3p,3P*,0,1s2.2s.3d,3D,1,,T3843n,
O,1,557.889,557.8887,120,1.26e+00,B+,15867.862,33792.583,2s2.2p4,1D,2,2s2.2p4,1S,0,E2,"T4539,T5081",L3760
O,5,,558.167,,1.11e+07,B,582843.1,600758.9,1s2.2s.3p,3P*,1,1s2.2s.3d,3D,2,,T3843n,
O,5,,558.478,,6.20e+06,B,582843.1,600748.9,1s2.2s.3p,3P*,1,1s2.2s.3d,3D,1,,T3843n,
O,2,558.4782,558.4767,10,2.17e+06,D,230609.45,248515.30,2s2.2p2.(1S).3s,2S,1/2,2s2.2p2.(3P).4p,2P*,3/2,,T5723LS,L10621
O,3,559.392,559.3805,110,3.27e+07,B,273081.33,290958.25,2s2.2p.(2P*).3s,1P*,1,2s2.2p.(2P*).3p,1P,1,,"T5376,T5791,u24",L3492
O,5,559.946,559.945,130,1.48e+07,B,582920.3,600779.2,1s2.2s.3p,3P*,2,1s2.2s.3d,3D,3,,T3843n,L552
O,5,,560.582,,3.68e+06,B,582920.3,600758.9,1s2.2s.3p,3P*,2,1s2.2s.3d,3D,2,,T3843n,
O,5,,560.714,,3.86e-02,C,213887.0,231721.4,1s2.2p2,3P,2,1s2.2p2,1D,2,M1,T4492,
O,5,,560.714,,2.94e-05,D+,213887.0,231721.4,1s2.2p2,3P,2,1s2.2p2,1D,2,E2,T4586,
O,5,,560.897,,4.08e+05,B,582920.3,600748.9,1s2.2s.3p,3P*,2,1s2.2s.3d,3D,1,,T3843n,
O,2,561.2619,561.2630,5,2.14e+06,D,230609.45,248426.41,2s2.2p2.(1S).3s,2S,1/2,2s2.2p2.(3P).4p,2P*,1/2,,T5723LS,L10621
O,2,561.5030,561.5028,6,,,189068.514,206877.865,2s2.2p2.(3P).3s,2P,3/2,2s2.2p2.(3P).3p,4D*,5/2,,,L10621
O,2,575.5513,575.5522,5,1.27e+05,C+,212593.82,229968.44,2s.2p4,2P,3/2,2s2.2p2.(1D).3p,2D*,3/2,,T6172n,L10621
O,4,,575.649,,2.29e+05,B,482666.1,500037.8,2s.2p.(3P*).3p,2D,3/2,2s2.4p,2P*,3/2,,T5109LS,
O,2,576.2606,576.2609,11,6.39e+05,C+,212593.82,229947.07,2s.2p4,2P,3/2,2s2.2p2.(1D).3p,2D*,5/2,,T6172n,L10621
O,4,,577.074,,2.28e+06,B,482666.1,499994.9,2s.2p.(3P*).3p,2D,3/2,2s2.4p,2P*,1/2,,T5109LS,
O,2,578.5392,578.5393,3w*,,,238627.46,255912.37,2s2.2p2.(3P).4s,4P,1/2,2s2.2p2.(3P).4f D,2[1]*,1/2,,,L10621
O,2,578.5392,578.5410,3w*,,,238627.46,255912.32,2s2.2p2.(3P).4s,4P,1/2,2s2.2p2.(3P).4f D,2[1]*,3/2,,,L10621
O,2,581.1854,581.1862,9,5.24e+05,C+,212762.25,229968.44,2s.2p4,2P,1/2,2s2.2p2.(1D).3p,2D*,3/2,,T6172n,L10621
O,4,,583.533,,1.32e+05,B,615460,632597,2p2.(3P).3p,2D*,3/2,2p2.(3P).3d,2P,1/2,,T5109LS,
O,4,,584.242,,1.97e+06,B,482921.6,500037.8,2s.2p.(3P*).3p,2D,5/2,2s2.4p,2P*,3/2,,T5109LS,
O,2,584.7853,584.7851,11,,,261044.03,278144.33?,2s2.2p2.(3P).5p,4D*,5/2,2s2.2p2.(1D).5s,2D,3/2,,,L10621
O,4,,588.408,,1.16e+05,B,615431,632426,2p2.(3P).3p,2D*,5/2,2p2.(3P).3d,2P,3/2,,T5109LS,
O,4,,589.414,,1.28e+04,C+,615460,632426,2p2.(3P).3p,2D*,3/2,2p2.(3P).3d,2P,3/2,,T5109LS,
O,2,590.4714,590.4714,4,,,238893.96,255829.58,2s2.2p2.(3P).4s,4P,5/2,2s2.2p2.(3P).4f G,2[4]*,7/2,,,L10621
O,3,,594.802,,1.80e+04,C,377385.58,394197.9,2s2.2p.(2P*).4d,3F*,2,2s.2p2.(2D).3s,3D,3,,T5376LS,
O,1,596.004,596.0036,160*,3.78e+05,C+,88630.587,105409.008,2s2.2p3.(4S*).3p,3P,1,2s2.2p3.(4S*).5d,3D*,1,,T5713LS,L3760
O,1,596.004,596.0036,160*,6.80e+05,C+,88630.587,105409.008,2s2.2p3.(4S*).3p,3P,1,2s2.2p3.(4S*).5d,3D*,2,,T5713LS,L3760
O,1,596.023,596.0235,190*,2.52e+04,C,88631.146,105409.008,2s2.2p3.(4S*).3p,3P,2,2s2.2p3.(4S*).5d,3D*,1,,T5713LS,L3760
O,1,596.023,596.0235,190*,9.06e+05,C+,88631.146,105409.008,2s2.2p3.(4S*).3p,3P,2,2s2.2p3.(4S*).5d,3D*,3,,T5713LS,L3760
O,1,596.023,596.0235,190*,2.27e+05,C+,88631.146,105409.008,2s2.2p3.(4S*).3p,3P,2,2s2.2p3.(4S*).5d,3D*,2,,T5713LS,L3760
O,1,,596.0291,,5.04e+05,C+,88631.303,105409.008,2s2.2p3.(4S*).3p,3P,0,2s2.2p3.(4S*).5d,3D*,1,,T5713LS,
O,3,,597.310,,8.82e+05,C+,377385.58,394127.3,2s2.2p.(2P*).4d,3F*,2,2s.2p2.(2D).3s,3D,2,,T5376LS,
O,3,,598.133,,4.17e+04,C,267258.71,283977.40,2s2.2p.(2P*).3s,3P*,0,2p4,3P,1,,"T5376,T5791,LS",
O,3,,598.989,,1.25e+05,C,267377.11,284071.90,2s2.2p.(2P*).3s,3P*,1,2p4,3P,0,,"T5376,T5791,LS",
O,3,,599.024,,7.85e+06,C+,377385.58,394079.4,2s2.2p.(2P*).4d,3F*,2,2s.2p2.(2D).3s,3D,1,,T5376LS,
O,1,599.694,,80,,,,,,,,,,,,,L3760
O,3,,601.121,,6.18e+05,C+,377562.31,394197.9,2s2.2p.(2P*).4d,3F*,3,2s.2p2.(2D).3s,3D,3,,T5376LS,
O,4,,601.685,,2.63e+05,B,576853,593473,2p2.(3P).3s,4P,1/2,2s.2p.(3P*).4d,4P*,1/2,,T5109LS,
O,3,,602.399,,3.06e+04,D,267377.11,283977.40,2s2.2p.(2P*).3s,3P*,1,2p4,3P,1,,"T5376,T5791,LS",
O,3,,603.683,,6.82e+06,C+,377562.31,394127.3,2s2.2p.(2P*).4d,3F*,3,2s.2p2.(2D).3s,3D,2,,T5376LS,
O,4,,604.120,,6.50e+05,B,576853,593406,2p2.(3P).3s,4P,1/2,2s.2p.(3P*).4d,4P*,3/2,,T5109LS,
O,1,604.790,604.7907,160,1.05e+06,C+,88630.587,105165.232,2s2.2p3.(4S*).3p,3P,1,2s2.2p3.(4S*).6s,3S*,1,,T5713LS,L3760
O,1,604.811,604.8112,190,1.75e+06,C+,88631.146,105165.232,2s2.2p3.(4S*).3p,3P,2,2s2.2p3.(4S*).6s,3S*,1,,T5713LS,L3760
O,1,604.816,604.8169,110,3.50e+05,C+,88631.303,105165.232,2s2.2p3.(4S*).3p,3P,0,2s2.2p3.(4S*).6s,3S*,1,,T5713LS,L3760
O,4,,606.943,,1.28e+06,B,576997,593473,2p2.(3P).3s,4P,3/2,2s.2p.(3P*).4d,4P*,1/2,,T5109LS,
O,3,,607.927,,6.90e+06,C+,377748.57,394197.9,2s2.2p.(2P*).4d,3F*,4,2s.2p2.(2D).3s,3D,3,,T5376LS,
O,2,608.2908,608.2899,4,4.25e+05,D,214169.920,230609.45,2s2.2p2.(3P).3p,2P*,1/2,2s2.2p2.(1S).3s,2S,1/2,,T6172n,L10621
O,4,,609.422,,2.03e+05,B,576997,593406,2p2.(3P).3s,4P,3/2,2s.2p.(3P*).4d,4P*,3/2,,T5109LS,
O,3,,610.404,,2.95e+04,C,267377.11,283759.70,2s2.2p.(2P*).3s,3P*,1,2p4,3P,2,,"T5376,T5791,LS",
O,2,610.5076,610.5088,7,8.36e+05,D,214229.671,230609.45,2s2.2p2.(3P).3p,2P*,3/2,2s2.2p2.(1S).3s,2S,1/2,,T6172n,L10621
O,4,,610.762,,1.49e+07,B,573696,590069,2s.2p.(3P*).4s,2P*,1/2,2s.2p.(3P*).4p,2S,1/2,,T5109LS,
O,1,610.796,,100,,,,,,,,,,,,,L3760
O,2,611.4679,611.4678,7,3.64e+06,C,238627.46,254981.55,2s2.2p2.(3P).4s,4P,1/2,2s.2p3.(5S*).3s,4S*,3/2,,T5723LS,L10621
O,3,,611.868,,4.87e+04,C,267634.00,283977.40,2s2.2p.(2P*).3s,3P*,2,2p4,3P,1,,"T5376,T5791,LS",
O,1,,614.2281,,9.62e+02,C,86627.778,102908.374,2s2.2p3.(4S*).3p,5P,2,2s2.2p3.(4S*).4d,3D*,3,,T5803,
O,4,,614.402,,4.45e+05,B,576997,593273,2p2.(3P).3s,4P,3/2,2s.2p.(3P*).4d,4P*,5/2,,T5109LS,
O,2,615.4269,615.4263,8,7.14e+06,C,238732.65,254981.55,2s2.2p2.(3P).4s,4P,3/2,2s.2p3.(5S*).3s,4S*,3/2,,T5723LS,L10621
O,1,,615.7665,,7.62e+06,B+,86625.757,102865.679,2s2.2p3.(4S*).3p,5P,1,2s2.2p3.(4S*).4d,5D*,0,,"T5803,LS",
O,1,615.768,615.7674,400,5.72e+06,B+,86625.757,102865.655,2s2.2p3.(4S*).3p,5P,1,2s2.2p3.(4S*).4d,5D*,1,,"T5803,LS",L3760
O,1,,615.7693,,2.67e+06,B+,86625.757,102865.606,2s2.2p3.(4S*).3p,5P,1,2s2.2p3.(4S*).4d,5D*,2,,"T5803,LS",
O,1,,615.8441,,1.91e+06,B+,86627.778,102865.655,2s2.2p3.(4S*).3p,5P,2,2s2.2p3.(4S*).4d,5D*,1,,"T5803,LS",
O,1,,615.8459,,4.45e+06,B+,86627.778,102865.606,2s2.2p3.(4S*).3p,5P,2,2s2.2p3.(4S*).4d,5D*,2,,"T5803,LS",
O,1,615.847,615.8482,450,5.08e+06,B+,86627.778,102865.547,2s2.2p3.(4S*).3p,5P,2,2s2.2p3.(4S*).4d,5D*,3,,"T5803,LS",L3760
O,1,,615.9854,,5.07e+05,B+,86631.454,102865.606,2s2.2p3.(4S*).3p,5P,3,2s2.2p3.(4S*).4d,5D*,2,,"T5803,LS",
O,1,,615.9876,,2.54e+06,B+,86631.454,102865.547,2s2.2p3.(4S*).3p,5P,3,2s2.2p3.(4S*).4d,5D*,3,,"T5803,LS",
O,1,615.988,615.9892,490,7.62e+06,B+,86631.454,102865.506,2s2.2p3.(4S*).3p,5P,3,2s2.2p3.(4S*).4d,5D*,4,,"T5803,LS",L3760
O,4,,617.398,,6.58e+05,B,577209,593406,2p2.(3P).3s,4P,5/2,2s.2p.(3P*).4d,4P*,3/2,,T5109LS,
O,4,,618.506,,2.88e+07,B,573901,590069,2s.2p.(3P*).4s,2P*,3/2,2s.2p.(3P*).4p,2S,1/2,,T5109LS,
O,2,619.9637,619.9620,1,,,212593.82,228723.84,2s.2p4,2P,3/2,2s2.2p2.(1D).3p,2F*,5/2,,,L10621
O,3,,620.128,,8.43e+04,C,267634.00,283759.70,2s2.2p.(2P*).3s,3P*,2,2p4,3P,2,,"T5376,T5791,LS",
O,2,621.5969,621.5971,9,1.04e+07,C,238893.96,254981.55,2s2.2p2.(3P).4s,4P,5/2,2s.2p3.(5S*).3s,4S*,3/2,,T5723LS,L10621
O,4,,622.510,,9.98e+05,B,577209,593273,2p2.(3P).3s,4P,5/2,2s.2p.(3P*).4d,4P*,5/2,,T5109LS,
O,1,625.856,,80,,,,,,,,,,,,,L3760
O,1,626.328,,100,,,,,,,,,,,,,L3760
O,1,,630.2046,,5.63e-03,B+,0.000,15867.862,2s2.2p4,3P,2,2s2.2p4,1D,2,M1,"T4539,T5081",
O,1,,630.2046,,2.11e-05,C+,0.000,15867.862,2s2.2p4,3P,2,2s2.2p4,1D,2,E2,"T4539,T5081",
O,1,,632.5134,,1.81e+04,C,97488.378,113298.320,2s2.2p3.(4S*).3d,3D*,1,2s2.2p3.(2D*).3p,3D,1,,T5713LS,
O,1,,632.5162,,6.02e+03,D,97488.448,113298.320,2s2.2p3.(4S*).3d,3D*,2,2s2.2p3.(2D*).3p,3D,1,,T5713LS,
O,1,,632.6521,,3.61e+03,D,97488.378,113294.854,2s2.2p3.(4S*).3d,3D*,1,2s2.2p3.(2D*).3p,3D,2,,T5713LS,
O,1,,632.6549,,1.68e+04,C,97488.448,113294.854,2s2.2p3.(4S*).3d,3D*,2,2s2.2p3.(2D*).3p,3D,2,,T5713LS,
O,1,,632.6564,,2.68e+03,D,97488.448,113294.816,2s2.2p3.(4S*).3d,3D*,2,2s2.2p3.(2D*).3p,3D,3,,T5713LS,
