element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref
O,6,,13.2219,,2.18e+09,B+,96375.0,852696,1s2.2p,2P*,1/2,1s2.4s,2S,1/2,,T5118LS,
O,6,,13.2312,,4.34e+09,B+,96907.5,852696,1s2.2p,2P*,3/2,1s2.4s,2S,1/2,,T5118LS,
O,7,,13.2767,,2.505e+09,AA,4585620.0,5338820.0,1s.2p,3P*,0,1s.3s,3S,1,,T5997LS,
O,7,,13.2777,,7.512e+09,AA,4585680.0,5338820.0,1s.2p,3P*,1,1s.3s,3S,1,,T5997LS,
O,5,,13.2791,,1.66e+09,C+,82078.6,835142.0,1s2.2s.2p,3P*,1,1s2.2p.(2P*<3/2>).4p,3P,2,,T5633LS,
O,5,,13.2797,,2.22e+09,C+,81942.5,834972.0,1s2.2s.2p,3P*,0,1s2.2p.(2P*<3/2>).4p,3P,1,,T5633LS,
O,5,,13.2821,,1.66e+09,C+,82078.6,834972.0,1s2.2s.2p,3P*,1,1s2.2p.(2P*<3/2>).4p,3P,1,,T5633LS,
O,5,,13.2845,,4.98e+09,B,82385.3,835142.0,1s2.2s.2p,3P*,2,1s2.2p.(2P*<3/2>).4p,3P,2,,T5633LS,
O,5,,13.2845,,6.65e+09,C+,82078.6,834835.0,1s2.2s.2p,3P*,1,1s2.2p.(2P*<3/2>).4p,3P,0,,T5633LS,
O,7,,13.2874,,1.249e+10,AA,4586230.0,5338820.0,1s.2p,3P*,2,1s.3s,3S,1,,T5997LS,
O,5,,13.2875,,2.77e+09,C+,82385.3,834972.0,1s2.2s.2p,3P*,2,1s2.2p.(2P*<3/2>).4p,3P,1,,T5633LS,
O,5,,13.3310,,8.33e+08,C,81942.5,832072.0,1s2.2s.2p,3P*,0,1s2.2p.(2P*<3/2>).4p,3S,1,,T5633LS,
O,5,,13.3335,,2.50e+09,C+,82078.6,832072.0,1s2.2s.2p,3P*,1,1s2.2p.(2P*<3/2>).4p,3S,1,,T5633LS,
O,5,,13.3389,,4.16e+09,B,82385.3,832072.0,1s2.2s.2p,3P*,2,1s2.2p.(2P*<3/2>).4p,3S,1,,T5633LS,
O,5,,13.3520,,4.74e+09,B,82385.3,831334.0,1s2.2s.2p,3P*,2,1s2.2p.(2P*<3/2>).4p,3D,3,,T5633LS,
O,5,,13.3520,,3.56e+09,B,82078.6,831029.0,1s2.2s.2p,3P*,1,1s2.2p.(2P*<1/2>).4p,3D,2,,T5633LS,
O,5,,13.3525,,2.64e+09,C+,81942.5,830867.0,1s2.2s.2p,3P*,0,1s2.2p.(2P*<1/2>).4p,3D,1,,T5633LS,
O,5,,13.3549,,1.98e+09,C+,82078.6,830867.0,1s2.2s.2p,3P*,1,1s2.2p.(2P*<1/2>).4p,3D,1,,T5633LS,
O,5,,13.3575,,1.18e+09,C+,82385.3,831029.0,1s2.2s.2p,3P*,2,1s2.2p.(2P*<1/2>).4p,3D,2,,T5633LS,
O,5,,13.3604,,1.32e+08,C,82385.3,830867.0,1s2.2s.2p,3P*,2,1s2.2p.(2P*<1/2>).4p,3D,1,,T5633LS,
O,5,,13.5175,,3.69e+09,B,158797.7,898580.0,1s2.2s.2p,1P*,1,1s2.2p.(2P*<1/2>).5p,1P,1,,T5633,
O,5,13.5523,13.5523,110,9.42e+09,B,0.0,737880.8,1s2.2s2,1S,0,1s2.2s.4p,1P*,1,,T5633,L552
O,7,,13.5820,,1.523e+11,AA,4629201.0,5365470.0,1s.2p,1P*,1,1s.3d,1D,2,,T5997,
O,7,,13.7510,,2.008e+10,AA,4629201.0,5356420.0,1s.2p,1P*,1,1s.3s,1S,0,,T5997,
O,5,,13.8025,,6.25e+09,B,81942.5,806446.4,1s2.2s.2p,3P*,0,1s2.2s.5d,3D,1,,T5633LS,
